Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Python Developer (Remote - US Hours),Stay Positive It,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Software Development Engineer 1,Analystt Ai Technology,Applied Successfully,8-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Junior Data Scientist,Smollan India Pvt Ltd,Applied Successfully,12-16 Lacs P.A.,No Recruiters Details Found,No URL,,,
Site Reliability Operational Engineer / AWS DevOps,Cirruslabs,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
AI Engineer,Koireader Technologies,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Data Scientist,fifthnote,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Data Analyst,Batchservice,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Software Engineer 2,US Based FoodTech,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Data Scientist II,6sense,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://boards.greenhouse.io/6sense/jobs/5567108/confirmation,,,
