Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Software Engineer - C++,,Not Applying because of keyword mentioned c++,,,No URL,,,
Senior Product / Data Analyst,HyrEzy Talent Solutions,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://www.naukri.com/job-listings-cn-comms-media-japan-bilingual-manager-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-2-to-7-years-040723906766?src=jobsearchDesk&sid=16889703657539392&xp=3&px=1,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://www.naukri.com/job-listings-python-software-developer-replicon-bangalore-bengaluru-3-to-6-years-310523003775?src=jobsearchDesk&sid=16889703657539392&xp=4&px=1,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://www.naukri.com/job-listings-walkin-interviews-for-python-developer-gd-hyd-office-on-11th-july-23-globaldata-hyderabad-secunderabad-3-to-6-years-060723006448?src=jobsearchDesk&sid=16889703657539392&xp=5&px=1,,,
Sr. Python Developer,Integradelivers India,Applied Successfully,6-12 Lacs P.A. (Including Variable: 10%),,No URL,,,
,,,,,,1. What is the notice period in your current company ?*,select-one,less than 15 days
,,,,,,2. What is your expected annual CTC in INR ?*,radio,"Rs.1,200,000.00 - Rs.1,500,000.00"
,,,,,,3. How many years of experience do you have in django ?*,radio,More than 4
Full-Stack Python Django and React Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
"Software Developer (React, Django, Python)",Redseer Consulting,Applied Successfully,Not Disclosed,,No URL,,,
"Software Developer (React, Django, Python)",Redseer Consulting,Already applied,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://www.naukri.com/job-listings-senior-python-developer-notice-period-30-days-atyeti-hyderabad-secunderabad-telangana-2-to-6-years-230623008081?src=jobsearchDesk&sid=16889703657539392&xp=9&px=1,,,
Devops Engineer,GSR Business Services,Applied Successfully,6.5-10 Lacs P.A.,,No URL,,,
Devops Engineer,GSR Business Services,Already applied,6.5-10 Lacs P.A.,,No URL,,,
Python Automation Test Engineer,Advance Career Solutions,Applied Successfully,5-10 Lacs P.A.,,No URL,,,
Python Automation Test Engineer,Advance Career Solutions,"Company Banned You, LOL ! ",5-10 Lacs P.A.,,https://www.naukri.com/myapply/saveApply?strJobsarr=030723005442&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-11-F-0-1--16889703657539392-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22030723005442%22:403}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=118.91.176.212&webApp=&jobTitle=Python%20Automation%20Test%20Engineer,,,
"Associate , Data Intelligence Group",Tresvista Financial Services,Applied Successfully,Not Disclosed,,No URL,,,
"Associate , Data Intelligence Group",Tresvista Financial Services,Already applied,Not Disclosed,,No URL,,,
Automation QA,Coredgeio,Applied Successfully,Not Disclosed,,No URL,,,
"Associate - Data Intelligence Group, Machine Learning & AI",Tresvista Financial Services,Applied Successfully,Not Disclosed,,No URL,,,
Site Reliability Engineer,Highradius,Applied Successfully,Not Disclosed,,No URL,,,
Principal Software Engineer,Highradius,Applied Successfully,Not Disclosed,,No URL,,,
Senior BI Analyst,Useready,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://careers.useready.com/#!/job-view/senior-bi-analyst-bangalore-karnataka-india-gurugram-haryana-india-tableau-sql-data-modelling-db-s-and-cicd-pipelines-git-bucket-git-commands-for-deployment-2023063019433096,,,
Data Engineer / Senior Data Engineer,S&P Global Market Intelligence,Applied Successfully,14-24 Lacs P.A.,,No URL,,,
,,,,,,1. How many years of experience do you have in SQL? ,radio,2 - 3
,,,,,,2. How many years of experience do you have in Python?*,radio,2 - 3
Senior BI Analyst,Rawmind Analytics,Applied Successfully,Not Disclosed,,No URL,,,
Manual / Automation Test Engineer Cloud Security Domain,Wavelabs Technologies,Applied Successfully,Not Disclosed,"Plot no 7, Jubilee Enclave,Opp hitex entrance,, Madhapur, Rangareddy district, 500081, Hyderabad, Hyderabad, Telangana, Hyderabad, Telangana, India",No URL,,,
